YEAR,MONTH,DAY,ORIGIN_AIRPORT,DESTINATION_AIRPORT,DEPARTURE_DELAY,DISTANCE,ARRIVAL_DELAY
2015,4,29,DFW,MIA,-2.0,1121,-17.0
2015,4,29,IAH,DFW,-10.0,224,-25.0
2015,4,29,MHT,BWI,-5.0,377,-2.0
2015,4,29,MIA,DFW,20.0,1121,22.0
2015,4,30,SEA,DFW,-7.0,1660,-15.0
2015,4,30,PHX,MIA,0.0,1972,-2.0
2015,4,30,DFW,MIA,-6.0,1121,-9.0
2015,4,30,IAH,DFW,-3.0,224,-18.0
2015,4,30,MDW,BWI,-4.0,611,-13.0
2015,4,30,MHT,BWI,-5.0,377,-14.0
2015,4,30,MIA,DFW,-5.0,1121,-18.0
2015,5,1,SEA,DFW,-11.0,1660,-28.0
2015,5,1,PHX,MIA,-6.0,1972,-7.0
2015,5,1,DFW,MIA,-7.0,1121,-14.0
2015,5,1,IAH,DFW,-7.0,224,-24.0
